tstamp,buffers,pct_buffer,added,removed,recycled,write,sync,total,synced,longest,average
2014-06-27T08:16:51.787Z,41147,2.6,0,0,22,269.055,0.757,269.853,303,0.043,0.002
2014-06-27T08:21:52.165Z,59009,3.8,0,0,18,269.253,1.068,270.346,344,0.054,0.003
2014-06-27T08:26:51.835Z,41618,2.6,0,0,33,269.844,0.776,270.640,318,0.040,0.002
2014-06-27T08:31:51.982Z,45065,2.9,0,0,16,269.155,0.946,270.122,301,0.051,0.003
2014-06-27T08:36:52.826Z,36401,2.3,0,0,21,270.014,0.783,270.815,313,0.045,0.002
2014-06-27T08:41:46.318Z,54996,3.5,0,0,15,262.398,1.046,263.464,326,0.062,0.003
2014-06-27T08:46:27.032Z,40685,2.6,0,0,24,243.805,0.847,244.676,331,0.118,0.002
2014-06-27T08:51:52.807Z,81035,5.2,0,0,17,269.972,0.748,270.754,371,0.139,0.002
2014-06-27T08:56:52.587Z,37448,2.4,0,0,34,269.231,0.504,269.752,317,0.017,0.001
2014-06-27T09:01:52.591Z,45703,2.9,0,0,17,269.359,0.584,269.975,311,0.069,0.001
2014-06-27T09:06:52.779Z,45623,2.9,0,0,20,269.364,0.763,270.156,315,0.060,0.002
2014-06-27T09:11:42.520Z,43896,2.8,0,0,18,258.841,0.846,259.709,313,0.025,0.002
2014-06-27T09:16:53.185Z,38187,2.4,0,0,20,269.436,1.167,270.625,312,0.073,0.003
2014-06-27T09:21:52.954Z,61451,3.9,0,0,18,269.661,1.052,270.738,351,0.056,0.002
2014-06-27T09:26:53.016Z,33801,2.1,0,0,26,269.017,0.962,270.033,314,0.038,0.003
2014-06-27T09:31:53.069Z,49549,3.2,0,0,16,269.980,1.019,271.023,307,0.196,0.003
2014-06-27T09:36:52.994Z,42372,2.7,0,0,20,269.951,0.930,270.899,369,0.060,0.002
2014-06-27T09:41:43.807Z,55591,3.5,0,0,18,259.805,0.952,260.783,326,0.083,0.002
2014-06-27T09:46:34.450Z,35131,2.2,0,0,25,249.708,0.872,250.603,347,0.036,0.002
2014-06-27T09:51:54.056Z,72674,4.6,0,0,16,269.484,1.040,270.555,344,0.144,0.003
2014-06-27T09:56:54.221Z,42785,2.7,0,0,31,269.967,1.152,271.138,369,0.028,0.003
2014-06-27T10:01:53.982Z,41811,2.7,0,0,20,269.747,0.956,270.735,317,0.115,0.003
2014-06-27T10:06:55.013Z,44670,2.8,0,0,18,270.063,0.920,270.999,326,0.066,0.002
2014-06-27T10:11:40.001Z,43481,2.8,0,0,19,255.222,0.689,255.961,324,0.057,0.002
2014-06-27T10:16:56.026Z,36978,2.4,0,0,20,269.931,1.026,270.979,313,0.050,0.003
2014-06-27T10:21:55.993Z,49528,3.1,0,0,17,269.977,0.928,270.938,293,0.022,0.003
2014-06-27T10:26:56.719Z,37968,2.4,0,0,19,269.939,0.627,270.696,332,0.021,0.001
2014-06-27T10:31:57.006Z,44581,2.8,0,0,21,269.266,0.972,270.259,383,0.034,0.002
2014-06-27T10:36:58.057Z,42043,2.7,0,0,23,270.039,0.980,271.038,313,0.104,0.003
2014-06-27T10:41:58.046Z,49020,3.1,0,0,18,269.986,0.948,270.959,320,0.075,0.002
2014-06-27T10:46:16.863Z,34764,2.2,0,0,21,228.323,1.432,229.786,309,0.112,0.004
2014-06-27T10:51:58.025Z,61974,3.9,0,0,16,269.141,0.960,270.124,325,0.037,0.002
2014-06-27T10:56:58.202Z,40117,2.6,0,0,28,269.949,1.184,271.151,312,0.037,0.003
2014-06-27T11:01:58.075Z,48153,3.1,0,0,15,269.787,1.036,270.843,369,0.029,0.002
2014-06-27T11:06:58.005Z,38375,2.4,0,0,27,269.922,0.956,270.900,380,0.026,0.002
2014-06-27T11:11:52.399Z,45489,2.9,0,0,17,264.243,1.102,265.368,382,0.031,0.002
2014-06-27T11:16:58.045Z,34191,2.2,0,0,18,269.603,0.983,270.609,338,0.037,0.002
2014-06-27T11:21:58.070Z,46487,3.0,0,0,16,269.965,0.994,270.999,310,0.101,0.003
2014-06-27T11:26:58.013Z,37410,2.4,0,0,18,269.856,1.031,270.913,318,0.149,0.003
2014-06-27T11:31:57.915Z,58810,3.7,0,0,22,269.875,0.971,270.872,366,0.071,0.002
2014-06-27T11:36:58.030Z,44681,2.8,0,0,32,269.115,0.945,270.084,319,0.072,0.002
2014-06-27T11:41:58.114Z,57712,3.7,0,0,20,269.943,1.094,271.054,351,0.049,0.003
2014-06-27T11:46:13.151Z,35643,2.3,0,0,32,224.692,1.286,226.008,341,0.062,0.003
2014-06-27T11:51:58.078Z,63765,4.1,0,0,17,269.758,1.071,270.852,350,0.081,0.003
2014-06-27T11:56:58.196Z,34008,2.2,0,0,32,269.906,1.163,271.087,329,0.294,0.003
2014-06-27T12:01:56.181Z,47980,3.1,0,0,15,267.986,0.951,268.957,329,0.084,0.002
2014-06-27T12:06:57.530Z,47909,3.0,0,0,24,269.595,0.697,270.317,329,0.016,0.002
2014-06-27T12:11:53.709Z,48520,3.1,0,0,39,265.394,0.721,266.149,366,0.103,0.001
2014-06-27T12:16:57.687Z,47551,3.0,0,0,42,269.068,0.849,269.942,316,0.072,0.002
2014-06-27T12:21:57.810Z,42809,2.7,0,0,20,269.279,0.777,270.092,316,0.074,0.002
2014-06-27T12:26:39.457Z,38406,2.4,0,0,19,250.205,1.391,251.617,333,0.171,0.004
2014-06-27T12:31:57.784Z,37963,2.4,0,0,37,269.330,0.928,270.280,326,0.193,0.002
2014-06-27T12:36:57.462Z,45522,2.9,0,0,45,269.057,0.567,269.646,317,0.075,0.001
2014-06-27T12:41:57.782Z,47595,3.0,0,0,33,269.536,0.723,270.291,336,0.023,0.002
2014-06-27T12:46:12.488Z,40843,2.6,0,0,22,223.572,1.098,224.693,369,0.059,0.002
2014-06-27T12:51:58.366Z,72191,4.6,0,0,31,269.418,1.357,270.802,347,0.057,0.003
2014-06-27T12:56:57.955Z,42189,2.7,0,0,30,269.470,1.064,270.559,343,0.031,0.003
2014-06-27T13:01:47.731Z,63313,4.0,0,0,17,258.440,1.270,259.748,386,0.048,0.003
2014-06-27T13:06:57.803Z,42818,2.7,0,0,24,269.248,0.760,270.030,349,0.047,0.002
2014-06-27T13:11:58.314Z,50875,3.2,0,0,18,269.206,1.242,270.483,357,0.067,0.003
2014-06-27T13:16:58.069Z,43170,2.7,0,0,20,269.682,1.023,270.725,371,0.027,0.002
2014-06-27T13:21:58.251Z,53080,3.4,0,0,19,269.948,1.156,271.151,356,0.038,0.003
2014-06-27T13:26:58.295Z,40013,2.5,0,0,24,269.772,1.223,271.016,327,0.078,0.003
2014-06-27T13:31:58.038Z,41229,2.6,0,0,23,269.692,0.952,270.713,336,0.026,0.002
2014-06-27T13:36:58.605Z,52987,3.4,0,0,17,269.957,1.562,271.537,359,0.070,0.004
2014-06-27T13:41:57.765Z,50719,3.2,0,0,24,269.010,1.101,270.129,325,0.045,0.003
2014-06-27T13:46:16.386Z,33637,2.1,0,0,23,227.418,1.150,228.591,375,0.028,0.003
2014-06-27T13:51:58.258Z,69454,4.4,0,0,19,269.620,1.159,270.803,397,0.062,0.002
2014-06-27T13:56:58.416Z,50192,3.2,0,0,28,269.713,1.384,271.128,370,0.040,0.003
2014-06-27T14:01:58.294Z,45381,2.9,0,0,30,269.575,1.244,270.847,340,0.115,0.003
2014-06-27T14:06:58.393Z,56616,3.6,0,0,19,269.638,1.411,271.068,392,0.099,0.003
2014-06-27T14:11:38.046Z,49808,3.2,0,0,27,249.306,1.288,250.623,335,0.134,0.003
2014-06-27T14:16:58.680Z,60086,3.8,0,0,28,269.969,1.595,271.584,373,0.152,0.004
2014-06-27T14:21:42.893Z,52688,3.3,0,0,28,254.148,1.014,255.182,328,0.054,0.003
2014-06-27T14:26:58.248Z,51437,3.3,0,0,22,269.117,1.173,270.309,375,0.096,0.003
2014-06-27T14:31:58.333Z,51667,3.3,0,0,28,269.763,1.261,271.054,352,0.189,0.003
2014-06-27T14:36:58.364Z,60527,3.8,0,0,22,269.560,1.427,271.013,359,0.210,0.003
2014-06-27T14:41:58.136Z,75951,4.8,0,0,34,269.554,1.166,270.744,337,0.117,0.003
2014-06-27T14:46:04.596Z,48532,3.1,0,0,57,216.180,1.202,217.430,367,0.145,0.003
2014-06-27T14:51:58.293Z,96338,6.1,0,0,33,269.371,1.218,270.613,365,0.117,0.003
2014-06-27T14:56:58.135Z,46089,2.9,0,0,40,269.690,1.103,270.812,357,0.038,0.003
2014-06-27T15:01:58.242Z,46445,3.0,0,0,23,269.830,1.218,271.078,323,0.040,0.003
2014-06-27T15:06:58.049Z,57797,3.7,0,0,22,269.771,0.985,270.778,419,0.030,0.002
2014-06-27T15:11:46.849Z,48455,3.1,0,0,27,258.391,1.339,259.769,354,0.149,0.003
2014-06-27T15:16:57.886Z,54336,3.5,0,0,23,269.117,0.857,269.994,367,0.158,0.002
2014-06-27T15:21:56.134Z,61468,3.9,0,0,22,267.174,1.024,268.217,413,0.048,0.002
2014-06-27T15:26:57.715Z,35892,2.3,0,0,24,269.886,0.642,270.549,336,0.022,0.001
2014-06-27T15:31:57.865Z,54638,3.5,0,0,16,269.237,0.861,270.121,356,0.037,0.002
2014-06-27T15:36:57.737Z,46064,2.9,0,0,26,269.102,0.721,269.842,332,0.068,0.002
2014-06-27T15:41:38.097Z,88525,5.6,0,0,21,249.039,1.257,250.329,389,0.239,0.003
2014-06-27T15:46:37.003Z,39550,2.5,0,0,39,248.998,0.836,249.856,390,0.043,0.002
2014-06-27T15:51:58.538Z,81777,5.2,0,0,25,269.961,0.504,270.487,406,0.031,0.001
2014-06-27T15:56:59.086Z,47250,3.0,0,0,36,269.486,0.998,270.517,351,0.036,0.002
2014-06-27T16:01:59.178Z,48425,3.1,0,0,21,269.900,1.125,271.062,326,0.063,0.003
2014-06-27T16:06:59.802Z,58872,3.7,0,0,20,269.761,1.789,271.594,375,0.070,0.004
2014-06-27T16:11:53.138Z,43693,2.8,0,0,27,263.060,1.225,264.306,386,0.060,0.003
2014-06-27T16:16:58.854Z,45115,2.9,0,0,19,269.801,0.841,270.682,325,0.022,0.002
2014-06-27T16:21:19.644Z,44329,2.8,0,0,19,229.507,1.216,230.759,370,0.073,0.003
2014-06-27T16:26:59.065Z,45356,2.9,0,0,26,269.269,1.055,270.353,328,0.024,0.003
2014-06-27T16:31:59.279Z,43526,2.8,0,0,19,269.869,1.261,271.187,319,0.046,0.003
2014-06-27T16:36:11.201Z,32027,2.0,0,0,18,221.925,0.944,222.894,335,0.036,0.002
2014-06-27T16:41:43.763Z,79007,5.0,0,0,17,254.160,1.287,255.483,373,0.103,0.003
2014-06-27T16:46:12.232Z,138408,8.8,0,0,39,222.056,1.347,223.424,329,0.124,0.004
2014-06-27T16:51:13.522Z,138981,8.8,0,0,59,269.755,2.542,272.336,420,0.077,0.006
2014-06-27T16:55:48.949Z,123249,7.8,0,0,64,245.202,2.136,247.401,345,0.098,0.006
2014-06-27T17:01:13.483Z,111662,7.1,0,0,57,269.980,1.477,271.480,371,0.259,0.003
2014-06-27T17:06:12.853Z,66360,4.2,0,0,47,269.509,0.808,270.340,350,0.231,0.002
2014-06-27T17:11:13.717Z,58163,3.7,0,0,28,268.717,2.108,270.845,370,0.206,0.005
2014-06-27T17:16:13.090Z,58981,3.7,0,1,29,269.247,1.074,270.342,357,0.102,0.003
2014-06-27T17:21:12.998Z,63378,4.0,0,0,24,269.822,1.010,270.878,364,0.067,0.002
2014-06-27T17:26:14.074Z,62193,4.0,0,0,25,269.912,1.108,271.044,328,0.127,0.003
2014-06-27T17:31:14.377Z,65712,4.2,0,0,23,269.634,1.603,271.273,333,0.120,0.004
2014-06-27T17:36:14.383Z,103253,6.6,0,0,24,269.502,1.428,270.990,356,0.057,0.004
2014-06-27T17:39:51.562Z,125639,8.0,0,0,34,186.174,1.944,188.150,333,0.154,0.005
2014-06-27T17:43:09.608Z,149463,9.5,0,0,50,169.854,3.922,173.810,336,0.248,0.011
2014-06-27T17:47:47.806Z,110985,7.1,0,0,64,267.529,1.117,268.795,332,0.237,0.003
2014-06-27T17:52:46.195Z,123619,7.9,0,0,64,264.990,1.338,266.355,377,0.308,0.003
2014-06-27T17:57:46.728Z,71859,4.6,0,0,60,265.932,1.516,267.500,331,0.136,0.004
2014-06-27T18:02:49.730Z,67685,4.3,0,0,34,269.106,0.806,269.970,361,0.071,0.002
2014-06-27T18:07:50.399Z,52652,3.3,0,9,21,269.127,1.466,270.637,378,0.147,0.003
2014-06-27T18:12:37.952Z,44280,2.8,0,0,27,257.154,1.341,258.524,364,0.262,0.003
2014-06-27T18:17:49.344Z,52061,3.3,0,0,20,268.122,1.206,269.352,399,0.252,0.003
2014-06-27T18:22:50.075Z,43555,2.8,0,3,27,269.396,1.274,270.703,349,0.339,0.003
2014-06-27T18:27:50.302Z,54919,3.5,0,0,21,269.736,1.429,271.197,384,0.320,0.003
2014-06-27T18:32:50.496Z,56932,3.6,0,0,22,269.550,1.586,271.164,408,0.138,0.003
2014-06-27T18:37:51.146Z,53362,3.4,0,0,28,269.286,2.301,271.622,398,0.864,0.005
2014-06-27T18:42:50.492Z,76528,4.9,0,0,23,269.758,1.533,271.316,386,0.119,0.003
2014-06-27T18:47:19.762Z,82180,5.2,0,0,40,238.978,1.230,240.238,361,0.410,0.003
2014-06-27T18:52:50.747Z,74463,4.7,0,0,41,269.200,1.683,270.923,359,0.106,0.004
2014-06-27T18:57:50.390Z,63965,4.1,0,0,28,269.277,1.310,270.612,421,0.059,0.003
2014-06-27T19:02:29.497Z,36187,2.3,0,4,31,248.779,1.214,250.077,347,0.143,0.003
2014-06-27T19:07:49.157Z,54131,3.4,0,0,17,268.322,1.157,269.609,358,0.054,0.003
2014-06-27T19:12:50.497Z,40959,2.6,0,0,22,269.667,1.462,271.308,360,0.038,0.004
2014-06-27T19:17:50.338Z,58554,3.7,0,0,19,269.479,1.312,270.811,383,0.117,0.003
2014-06-27T19:22:32.592Z,43379,2.8,0,0,26,252.537,0.665,253.223,337,0.071,0.001
2014-06-27T19:27:50.188Z,51371,3.3,0,0,18,269.360,1.168,270.548,335,0.049,0.003
2014-06-27T19:32:50.333Z,51481,3.3,0,0,22,269.798,1.297,271.118,361,0.053,0.003
2014-06-27T19:37:49.202Z,70684,4.5,0,0,29,268.438,1.348,269.847,404,0.048,0.003
2014-06-27T19:42:51.144Z,72678,4.6,0,0,27,269.833,2.054,271.913,406,0.150,0.005
2014-06-27T19:47:22.972Z,66430,4.2,0,0,34,242.723,1.041,243.799,389,0.296,0.002
2014-06-27T19:52:51.603Z,66786,4.2,0,0,36,269.982,1.564,271.576,382,0.095,0.004
2014-06-27T19:57:51.224Z,47334,3.0,0,0,25,269.377,1.185,270.592,333,0.087,0.003
2014-06-27T20:02:38.140Z,54086,3.4,0,0,21,256.597,1.272,257.887,377,0.063,0.003
2014-06-27T20:07:51.090Z,70473,4.5,0,0,25,269.832,1.033,270.906,356,0.044,0.002
2014-06-27T20:12:43.654Z,64073,4.1,0,0,29,262.778,0.732,263.534,361,0.029,0.002
2014-06-27T20:17:50.631Z,63155,4.0,0,0,27,268.795,1.108,269.939,387,0.051,0.002
2014-06-27T20:22:51.450Z,69855,4.4,0,0,32,269.321,1.435,270.791,352,0.213,0.004
2014-06-27T20:27:13.795Z,37478,2.4,0,5,23,232.647,0.576,233.315,317,0.035,0.001
2014-06-27T20:32:51.640Z,41282,2.6,0,0,19,269.171,1.585,270.776,371,0.187,0.004
2014-06-27T20:37:44.439Z,44808,2.8,0,0,15,262.867,0.852,263.768,364,0.021,0.002
2014-06-27T20:42:12.340Z,39408,2.5,0,0,40,230.664,1.163,231.865,336,0.068,0.003
2014-06-27T20:47:19.626Z,47059,3.0,0,0,21,238.312,0.884,239.214,359,0.131,0.002
2014-06-27T20:52:50.729Z,44674,2.8,0,0,31,269.313,0.709,270.041,338,0.035,0.002
2014-06-27T20:57:50.915Z,53001,3.4,0,0,19,269.307,0.822,270.155,355,0.079,0.002
2014-06-27T21:02:28.522Z,40603,2.6,0,0,29,246.595,0.947,247.579,342,0.043,0.002
2014-06-27T21:07:50.654Z,97083,6.2,0,0,18,269.113,0.909,270.078,342,0.439,0.002
2014-06-27T21:12:50.550Z,43876,2.8,0,0,33,269.380,0.465,269.866,360,0.017,0.001
2014-06-27T21:17:51.194Z,44773,2.8,0,0,21,269.462,1.131,270.614,337,0.034,0.003
2014-06-27T21:22:52.163Z,36399,2.3,0,0,19,269.824,2.092,271.939,300,0.103,0.006
2014-06-27T21:27:51.114Z,46981,3.0,0,0,16,269.799,1.099,270.922,384,0.040,0.002
2014-06-27T21:32:51.592Z,43164,2.7,0,0,21,269.872,1.500,271.448,367,0.047,0.004
2014-06-27T21:37:50.977Z,52200,3.3,0,0,31,269.396,0.937,270.354,321,0.041,0.002
2014-06-27T21:42:52.314Z,38106,2.4,0,0,20,270.032,1.241,271.306,338,0.029,0.003
2014-06-27T21:46:52.445Z,52004,3.3,0,0,18,210.180,0.888,211.101,355,0.163,0.002
2014-06-27T21:52:52.514Z,52128,3.3,0,0,29,269.512,1.432,270.979,369,0.040,0.003
2014-06-27T21:57:51.983Z,44884,2.9,0,0,25,269.457,0.955,270.439,329,0.022,0.002
2014-06-27T22:02:53.045Z,41412,2.6,0,0,20,270.050,0.962,271.031,321,0.087,0.002
2014-06-27T22:07:53.079Z,46082,2.9,0,0,18,269.999,0.984,271.004,354,0.065,0.002
2014-06-27T22:12:45.640Z,48940,3.1,0,0,20,262.577,0.936,263.533,415,0.038,0.002
2014-06-27T22:17:52.940Z,40363,2.6,0,0,24,269.351,0.873,270.262,342,0.043,0.002
2014-06-27T22:22:53.137Z,37709,2.4,0,0,19,269.033,1.097,270.165,344,0.031,0.003
2014-06-27T22:27:53.007Z,39187,2.5,0,0,20,269.852,0.958,270.843,323,0.040,0.002
2014-06-27T22:32:53.239Z,46832,3.0,0,0,17,270.010,1.138,271.203,415,0.038,0.002
2014-06-27T22:37:53.412Z,49828,3.2,0,0,20,269.702,1.417,271.142,400,0.036,0.003
2014-06-27T22:42:53.496Z,56661,3.6,0,0,20,269.545,1.488,271.054,376,0.047,0.003
2014-06-27T22:47:12.229Z,67476,4.3,0,0,25,228.493,1.181,229.702,367,0.260,0.003
2014-06-27T22:52:53.037Z,72433,4.6,0,0,36,269.626,1.071,270.736,370,0.124,0.002
2014-06-27T22:57:17.813Z,53785,3.4,0,0,30,234.565,1.157,235.750,378,0.181,0.003
2014-06-27T23:02:39.459Z,58139,3.7,0,0,31,255.729,0.820,256.584,312,0.056,0.002
2014-06-27T23:07:53.150Z,61937,3.9,0,0,24,269.490,1.129,270.646,347,0.131,0.003
2014-06-27T23:12:47.419Z,46495,3.0,0,0,28,264.174,1.051,265.244,315,0.103,0.003
2014-06-27T23:17:53.144Z,51140,3.3,0,0,24,269.623,1.047,270.693,323,0.235,0.003
2014-06-27T23:22:53.069Z,48898,3.1,0,0,21,268.948,1.149,270.897,359,0.112,0.003
2014-06-27T23:27:53.013Z,55967,3.6,0,0,31,269.750,1.142,270.917,365,0.109,0.003
2014-06-27T23:32:53.066Z,55947,3.6,0,0,36,270.021,0.982,271.023,309,0.052,0.003
2014-06-27T23:37:52.890Z,52164,3.3,0,0,45,269.913,0.872,270.819,363,0.067,0.002
2014-06-27T23:42:53.187Z,51667,3.3,0,0,24,269.097,1.136,270.268,325,0.041,0.003
2014-06-27T23:47:25.299Z,62138,4.0,0,0,20,242.294,0.762,243.081,350,0.203,0.002
2014-06-27T23:52:52.941Z,43030,2.7,0,0,31,269.586,0.923,270.586,368,0.026,0.002
2014-06-27T23:57:53.129Z,45142,2.9,0,0,19,269.067,1.065,270.156,352,0.046,0.003
2014-06-28T00:02:52.971Z,46513,3.0,0,0,22,269.880,0.912,270.815,302,0.081,0.003
2014-06-28T00:07:52.806Z,39562,2.5,0,0,18,269.036,0.752,269.807,341,0.078,0.002
2014-06-28T00:12:50.509Z,42027,2.7,0,0,19,266.949,0.700,267.674,356,0.053,0.001
2014-06-28T00:17:52.500Z,32784,2.1,0,3,18,269.489,0.444,269.958,307,0.038,0.001
2014-06-28T00:22:52.721Z,35957,2.3,0,0,15,269.502,0.662,270.190,306,0.054,0.002
2014-06-28T00:27:48.252Z,35461,2.3,0,0,15,264.601,0.866,265.499,321,0.049,0.002
2014-06-28T00:32:52.728Z,40829,2.6,0,0,17,269.753,0.673,270.444,335,0.038,0.002
2014-06-28T00:37:53.028Z,37342,2.4,0,0,21,269.306,0.933,270.272,305,0.057,0.003
2014-06-28T00:42:53.119Z,39226,2.5,0,0,17,269.927,1.103,271.061,364,0.091,0.003
2014-06-28T00:47:22.033Z,67632,4.3,0,0,17,239.092,0.768,239.883,347,0.086,0.002
2014-06-28T00:51:48.306Z,27184,1.7,0,0,34,205.907,0.276,206.214,346,0.039,0.000
2014-06-28T00:57:52.948Z,39904,2.5,0,0,15,269.578,0.936,270.546,348,0.049,0.002
2014-06-28T01:02:53.049Z,36460,2.3,0,0,27,268.984,1.027,270.070,306,0.033,0.003
2014-06-28T01:07:52.411Z,42211,2.7,0,0,16,269.960,0.319,270.336,327,0.022,0.000
2014-06-28T01:12:54.420Z,37074,2.4,0,0,18,269.590,2.343,271.978,325,0.034,0.007
2014-06-28T01:17:52.302Z,49588,3.2,0,0,16,269.587,0.203,269.852,357,0.020,0.000
2014-06-28T01:23:16.621Z,39863,2.5,0,0,31,287.437,6.675,294.288,315,2.002,0.021
